Listing Id,Locality,Property Type,Property Subtype,Price,Fully Equipped Kitchen,Number of Rooms,Area,Garden,Terrace,Swimming Pool,New Building
9510058,7700,apartment,apartment,275000,1.0,2,,,True,,False
9510065,4031,house,house,70000,1.0,2,75.0,,,,False
9510090,1200,apartment,apartment,380000,1.0,2,,,True,,False
9510135,1471,house,house,120000,0.0,3,490.0,,,,False
9510156,9620,apartment,penthouse,249000,1.0,2,,,True,,False
9510160,4031,house,house,60000,1.0,2,40.0,,,,False
9510172,1480,house,town house,330000,1.0,3,270.0,200.0,True,,False
9510185,1180,apartment,apartment,460000,1.0,2,,,True,,False
9510186,1180,apartment,apartment,220000,1.0,1,,,,,False
9510195,2000,house,exceptional property,2950000,1.0,7,696.0,200.0,True,,False
9510213,1120,house,house,460000,1.0,5,0.0,60.0,True,,False
9510225,1180,apartment,ground floor,650000,1.0,2,,150.0,True,,False
9510259,4031,house,house,80000,1.0,5,1290.0,1548.0,,,False
9510368,1830,house,house,374000,1.0,3,185.0,49.0,True,,False
9510406,1070,house,house,399000,1.0,5,238.0,135.0,True,,False
9510433,9280,house,apartment block,495000,0.0,5,817.0,,True,,False
9510434,9280,apartment,apartment,495000,0.0,5,,,True,,False
9510452,4180,house,house,249000,0.0,6,1058.0,755.0,True,,False
9510475,1410,house,villa,649500,1.0,4,693.0,310.0,True,,False
9510476,1000,apartment,flat studio,205000,1.0,0,,,True,,False
9510498,2500,house,villa,3150000,1.0,4,6400.0,,True,True,False
9510535,1325,house,villa,599000,1.0,4,400.0,300.0,True,,False
9510540,8500,house,house,685000,1.0,6,1015.0,,,True,False
9510563,9880,house,house,950000,1.0,3,5216.0,,,,False
9510717,1050,apartment,ground floor,750000,1.0,2,,,True,,False
9510793,9620,apartment,apartment,185000,1.0,2,,,,,False
9510904,8300,apartment,apartment,549000,1.0,2,,,True,,False
9510905,8301,apartment,apartment,399000,0.0,2,,,True,,False
9510951,1000,house,house,1100000,1.0,6,132.0,50.0,True,,False
9510966,1460,house,house,150000,0.0,3,80.0,,True,,False
9510983,2660,apartment,ground floor,235000,0.0,2,,165.0,,,False
9510995,1180,apartment,apartment,575000,0.0,3,,,True,,False
9511011,1200,apartment,apartment,250000,1.0,2,,72.0,True,,False
9511012,4460,house,mixed use building,395000,1.0,5,1765.0,700.0,True,,False
9511054,4000,house,house,129000,0.0,2,0.0,,,,False
9511057,1200,apartment,apartment,275000,0.0,2,,,True,,False
9511058,1200,apartment,apartment,480000,1.0,3,,,True,,False
9511063,1030,apartment,apartment,245000,1.0,1,,,True,,False
9511065,1200,apartment,apartment,395000,0.0,2,,,True,,False
9511071,9300,apartment,apartment,525000,1.0,2,,,True,,False
9511077,1780,house,villa,650000,0.0,5,1169.0,,True,,False
9511094,4280,apartment,apartment,200000,1.0,2,,,True,,False
9511095,4500,house,mixed use building,220000,0.0,0,89.0,,,,False
9511096,4367,house,house,380000,1.0,4,1513.0,1100.0,True,,False
9511108,9700,house,mixed use building,749000,1.0,4,275.0,,,,False
9511124,1160,apartment,apartment,480000,1.0,3,,,True,,False
9511127,1000,apartment,apartment,165000,0.0,1,,,,,False
9511134,3210,apartment,apartment,265000,0.0,2,,,True,,False
9511142,6717,house,house,395000,1.0,5,369.0,235.0,True,,False
9511157,1000,apartment,flat studio,155000,1.0,0,,,,,False
9511263,5360,house,house,425000,0.0,4,741.0,,True,,False
9511291,1000,apartment,apartment,260000,0.0,1,,,True,,False
9511292,2000,apartment,kot,162000,1.0,1,,,,,False
9511293,2000,apartment,apartment,229000,1.0,2,,,True,,False
9511306,2460,house,villa,529000,0.0,3,2005.0,,True,,False
9511307,2340,house,house,579000,1.0,5,1786.0,,True,,False
9511322,1380,house,house,1050000,1.0,6,3000.0,2000.0,True,True,False
9511338,6800,house,mixed use building,370000,0.0,6,5870.0,1000.0,,,False
9511341,9931,house,house,299000,0.0,3,329.0,,True,,False
9511355,1140,apartment,apartment,278000,1.0,2,,,True,,False
9511368,8301,apartment,apartment,970000,1.0,3,,,True,,False
9511387,5032,house,house,549000,1.0,4,4328.0,4173.0,True,,False
9511422,9550,house,villa,445000,1.0,3,2575.0,,True,,False
9511423,8755,house,house,479000,1.0,4,1132.0,,True,,False
9511424,9550,house,villa,575000,1.0,3,3705.0,3500.0,,,False
9511440,4500,house,house,175000,0.0,3,231.0,186.0,True,,False
9511513,1300,house,house,240000,1.0,3,68.0,,,,False
9511524,1050,apartment,apartment,1500000,1.0,3,,1000.0,True,,False
9511526,9000,apartment,apartment,170000,1.0,1,,,True,,False
9511536,1180,apartment,apartment,1150000,0.0,2,,,True,,False
9511537,1325,apartment,duplex,325000,1.0,1,,,True,,False
9511568,9550,house,house,259000,0.0,4,770.0,,True,,False
9511620,8551,house,farmhouse,11111,1.0,4,2035.0,,True,,False
9511644,1200,apartment,apartment,540000,0.0,3,,,True,,False
9511661,4500,house,house,250000,0.0,3,70.0,,True,,False
9511676,1030,apartment,apartment,275000,1.0,3,,,True,,False
9511699,1000,apartment,apartment,215000,1.0,1,,,,,False
9511814,5370,house,house,180000,1.0,3,960.0,,True,,False
9511823,1325,house,apartment block,595000,1.0,5,2000.0,,,,False
9511824,1300,house,house,275000,0.0,3,99.0,25.0,True,,False
9511825,1300,apartment,apartment,275000,0.0,3,,25.0,True,,False
9511838,1650,house,house,1500000,1.0,4,2524.0,,True,,False
9511850,3111,house,villa,549000,0.0,6,3943.0,,True,,False
9511858,4480,house,house,245000,1.0,3,813.0,,True,,False
9511915,1930,house,house,545000,1.0,6,390.0,230.0,True,,False
